,Compound,Mass
162,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + K,8788.519626
163,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + OH,8766.558626
164,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + C₁₀H₁₄,8883.665453
165,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + Na + P₁N₃C₆H₁₂,8906.632786
166,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + OH,8782.532626
167,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + C₁₀H₁₄,8899.639453
168,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + K + P₁N₃C₆H₁₂,8922.606786
169,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + OH + C₁₀H₁₄,8877.678453
170,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + OH + P₁N₃C₆H₁₂,8900.645786000001
171,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Ru + C₁₀H₁₄ + P₁N₃C₆H₁₂,9017.752613
172,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + OH,8703.618
173,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + C₁₀H₁₄,8820.724827
174,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + K + P₁N₃C₆H₁₂,8843.69216
175,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + OH + C₁₀H₁₄,8798.763827
176,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + OH + P₁N₃C₆H₁₂,8821.731160000001
177,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,8938.837987
178,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + OH + C₁₀H₁₄,8814.737827
179,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + OH + P₁N₃C₆H₁₂,8837.705160000001
180,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8954.811987000001
181,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Cl + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8932.850987000002
182,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + OH,8770.553625999999
183,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + C₁₀H₁₄,8887.660452999999
184,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + K + P₁N₃C₆H₁₂,8910.627786
185,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + OH + C₁₀H₁₄,8865.699453
186,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + OH + P₁N₃C₆H₁₂,8888.666786
187,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,9005.773613
188,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + OH + C₁₀H₁₄,8881.673453
189,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + OH + P₁N₃C₆H₁₂,8904.640786
190,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9021.747613
191,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Ru + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8999.786613
192,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + OH + C₁₀H₁₄,8802.758827
193,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + OH + P₁N₃C₆H₁₂,8825.72616
194,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8942.832987
195,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8920.871987
196,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + H₂O + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8936.845987
197,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + OH,8787.511626
198,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + C₁₀H₁₄,8904.618453
199,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + K + P₁N₃C₆H₁₂,8927.585786
200,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + OH + C₁₀H₁₄,8882.657453
201,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + OH + P₁N₃C₆H₁₂,8905.624786
202,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + Na + C₁₀H₁₄ + P₁N₃C₆H₁₂,9022.731613
203,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + OH + C₁₀H₁₄,8898.631453
204,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + OH + P₁N₃C₆H₁₂,8921.598786
205,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9038.705613
206,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Ru + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,9016.744613
207,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + OH + C₁₀H₁₄,8819.716827
208,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + OH + P₁N₃C₆H₁₂,8842.68416
209,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,8959.790987
210,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + Na + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8937.829987000001
211,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Cl + K + OH + C₁₀H₁₄ + P₁N₃C₆H₁₂,8953.803987000001
212,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + OH + C₁₀H₁₄,8886.652452999999
213,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + OH + P₁N₃C₆H₁₂,8909.619786
214,C₃₇₈H₆₃₀N₁₀₅O₁₁₈S₁ + Ru + Na + K + C₁₀H₁₄ + P₁N₃C₆H₁₂,9026.726612999999
